# gsd	mle
140.8	-0.00020236
140.85	-0.000292455
140.9	-8.56893e-05
140.95	-3.71477e-06
141	4.66944e-05
141.05	7.84884e-05
141.1	9.58127e-05
141.15	0.000100322
141.2	9.25735e-05
141.25	7.25886e-05
141.3	3.98568e-05
141.35	-7.19741e-06
141.4	-7.2349e-05
141.45	-0.000167292
141.5	-0.000353856
141.55	-0.000367312
141.6	-0.000428388
141.65	-0.000347112
141.7	-0.000245683
141.75	-0.000199877
141.8	-0.000175562
141.85	-0.000163385
141.9	-0.000159297
141.95	-0.000160915
142	-0.000166508
142.05	-0.000174456
142.1	-0.000183076
142.15	-0.000190695
142.2	-0.000196025
142.25	-0.00019858
142.3	-0.000198982
142.35	-0.00019984
142.4	-0.000209848
142.45	-0.00027618
142.5	-0.000578742
142.55	-0.00025423
142.6	-0.000291514
142.65	-0.00043037
142.7	-0.000344419
142.75	-0.000282807
142.8	-0.000391153
142.85	-0.000183254
142.9	-5.84393e-05
142.95	1.77283e-05
143	6.7508e-05
143.05	9.58595e-05
143.1	0.000100578
143.15	2.31831e-05
143.2	0.000212566
143.25	0.000426102
143.3	0.000184407
143.35	0.000105602
143.4	5.88417e-05
143.45	2.06048e-05
143.5	-1.64878e-05
143.55	-5.81983e-05
143.6	-0.000113497
143.65	-0.000212927
143.7	-0.00028936
143.75	-0.000159099
143.8	-0.000112263
143.85	-8.69159e-05
143.9	-7.25801e-05
143.95	-6.56988e-05
144	-6.49225e-05
144.05	-6.9958e-05
144.1	-8.13133e-05
144.15	-0.000100522
144.2	-0.000131234
144.25	-0.000183804
144.3	-0.000318923
144.35	-0.000250442
144.4	-0.000156516
144.45	-0.000107688
144.5	-7.55508e-05
144.55	-5.4782e-05
144.6	-4.48796e-05
144.65	-4.67353e-05
144.7	-6.22628e-05
144.75	-9.64635e-05
144.8	-0.000169314
144.85	-0.000339877
144.9	-0.000136766
144.95	-7.50111e-05
145	-3.86259e-05
145.05	-1.41417e-05
145.1	2.43066e-06
145.15	1.19025e-05
145.2	1.25911e-05
145.25	-1.89213e-06
145.3	-6.11138e-05
145.35	-8.66204e-05
145.4	-8.98508e-05
145.45	-0.000165447
145.5	3.90484e-05
145.55	-2.02731e-05
145.6	-3.48873e-05
145.65	-2.33383e-05
145.7	-9.66719e-07
145.75	2.56267e-05
145.8	-4.65943e-06
145.85	1.19189e-05
145.9	-0.000220479
145.95	1.8116e-05
146	1.78115e-07
146.05	-4.1255e-06
146.1	-1.03523e-06
146.15	2.38439e-06
146.2	1.81433e-06
146.25	-5.53811e-06
146.3	-2.17662e-05
146.35	-4.90822e-05
146.4	-9.11989e-05
146.45	-0.000157876
146.5	-0.000303724
146.55	-0.000274317
146.6	-0.000201823
146.65	-0.000179038
146.7	-0.000172928
146.75	-0.000174466
146.8	-0.000178993
146.85	-0.000183258
146.9	-0.000184884
146.95	-0.000182417
147	-0.000175364
147.05	-0.000163923
147.1	-0.000148703
147.15	-0.000130405
147.2	-0.000109734
147.25	-8.74104e-05
147.3	-6.42051e-05
147.35	-4.09812e-05
147.4	-1.88695e-05
147.45	4.83867e-07
147.5	1.41561e-05
147.55	1.6182e-05
147.6	-1.01265e-05
147.65	-0.000227469
147.7	3.36855e-05
147.75	0.000123196
147.8	0.00016595
147.85	0.000176735
147.9	0.000150612
147.95	-2.74781e-05
148	6.20588e-05
148.05	7.86683e-05
148.1	-4.54598e-05
148.15	2.75214e-05
148.2	4.97826e-05
148.25	5.88358e-05
148.3	5.79954e-05
148.35	4.25542e-05
148.4	-6.43174e-06
148.45	-0.00024866
148.5	-0.000205114
148.55	-0.00014665
148.6	-0.000190441
148.65	-0.000154462
148.7	-0.000129633
148.75	-0.000135636
148.8	-0.000178713
148.85	-0.000100693
148.9	-0.000187648
148.95	-8.93766e-05
149	-8.19053e-05
149.05	-7.63351e-05
149.1	-7.64903e-05
149.15	-8.30766e-05
149.2	-9.67881e-05
149.25	-0.00011869
149.3	-0.000151013
149.35	-0.000197809
149.4	-0.000268579
149.45	-0.000408164
149.5	-0.00114124
149.55	-0.000351566
149.6	-0.000284617
149.65	-0.000268649
149.7	-0.000270161
149.75	-0.000290423
149.8	-0.00034879
149.85	-0.000514242
149.9	-0.00029209
149.95	-0.000217603
150	-0.000169171
150.05	-0.000132883
150.1	-0.000103798
150.15	-7.99912e-05
150.2	-6.01388e-05
150.25	-4.38465e-05
150.3	-3.08446e-05
150.35	-2.11744e-05
150.4	-1.53341e-05
150.45	-1.44258e-05
150.5	-2.07302e-05
150.55	-3.93211e-05
150.6	-8.33172e-05
150.65	-0.000209724
150.7	-0.000274905
150.75	-8.0026e-05
150.8	9.81141e-05
150.85	0.00019133
150.9	0.00020099
150.95	0.000603243
151	-8.5235e-05
151.05	-6.94551e-06
151.1	-2.21631e-05
151.15	0.000226291
151.2	0.000184397
151.25	0.000306706
151.3	0.000370225
151.35	5.43146e-06
151.4	0.00010365
151.45	0.000227584
151.5	0.000157088
151.55	0.000255472
151.6	0.000107802
151.65	-0.000163043
151.7	-3.0057e-05
151.75	-0.000259019
151.8	0.000355575
151.85	0.000134848
151.9	-9.67862e-05
151.95	7.54772e-05
152	-0.000260244
152.05	-0.000150627
152.1	-0.000323336
152.15	-6.14799e-05
152.2	5.76448e-05
152.25	0.000100727
152.3	-1.08189e-05
152.35	0.000143288
152.4	0.000475489
152.45	-5.31597e-05
152.5	-0.00031452
152.55	-0.00017989
152.6	-0.000121818
152.65	0.000201605
152.7	0.000258326
152.75	0.000145564
152.8	0.00023798
152.85	5.76076e-05
152.9	0.000254139
152.95	0.000274964
153	0.000278663
153.05	0.000266285
153.1	0.000272461
153.15	6.17225e-05
153.2	0.000849151
153.25	0.000937682
153.3	0.0012488
153.35	0.000837369
153.4	0.00154948
153.45	0.00136154
153.5	0.00148426
153.55	0.00152262
153.6	0.00207396
153.65	0.00154601
153.7	0.00200913
153.75	0.00248408
153.8	0.00242813
153.85	0.00215881
153.9	0.00275501
153.95	0.00285374
154	0.00199589
154.05	0.00375423
154.1	0.00428854
154.15	0.00228279
154.2	0.00185814
154.25	0.0027079
154.3	0.0029277
154.35	0.00281622
154.4	0.00219649
154.45	0.0025741
154.5	0.00247917
154.55	0.00140396
154.6	0.00133432
154.65	0.00159419
154.7	0.00262971
154.75	0.00254425
154.8	0.00204342
154.85	0.00320259
154.9	0.00296399
154.95	0.0020698
155	0.00253375
155.05	0.0028406
155.1	0.00313276
155.15	0.00227631
155.2	0.00293865
155.25	0.00389775
155.3	0.00188913
155.35	0.00287242
155.4	0.00307655
155.45	0.00326305
155.5	0.00346376
155.55	0.00265172
155.6	0.00263429
155.65	0.00294975
155.7	0.00323849
155.75	0.00273232
155.8	0.00357177
155.85	0.00231642
155.9	5.06528e-05
155.95	0.000129478
156	0.000195606
156.05	0.000936057
156.1	0.00302664
156.15	0.00346491
156.2	0.00319324
156.25	0.00297138
156.3	0.00437664
156.35	0.00438766
156.4	0.00476925
156.45	0.00442024
156.5	0.0036911
156.55	0.00408907
156.6	0.00439736
156.65	0.00426087
156.7	0.00548565
156.75	0.00570682
156.8	0.00551355
156.85	0.00430701
156.9	0.00466443
156.95	0.00430059
157	0.00474041
157.05	0.00459907
157.1	0.00440739
157.15	0.00238604
157.2	0.00269992
157.25	0.00401632
157.3	0.0051871
157.35	0.0027742
157.4	0.00409239
157.45	0.00359864
157.5	0.00355511
157.55	0.00472839
157.6	0.00377465
157.65	0.00400655
157.7	0.00350719
157.75	0.000171062
157.8	0.00266877
157.85	0.00392187
157.9	0.00365905
157.95	0.00378218
158	0.00453981
158.05	0.00391985
158.1	0.00343485
158.15	0.00500982
158.2	0.00527536
158.25	0.00450539
158.3	0.00444201
158.35	0.00381317
158.4	0.00448176
158.45	0.00155503
158.5	0.00387459
